site number,site location,Cluster,site acronym,date,sample type,TOC (mg/L),DOC (mg/L),UVA (cm-1),suva (L/mg-m),peak int,peak int WL,int at 450,int at 460,int at 500,FI (450/500),docm comments
R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,2000,NA,1.674,1.484,0.0361,0.024326146,61.41,447.95,60.83,57.63,35.1,1.733048433,NA
R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,2000,NA,1.562,1.589,0.0356,0.022404028,59.85,445.04,59.32,56.44,33.56,1.767580453,NA
field_blank,field blank,NA,NA,2000,field blank,NA,0.2715,NA,NA,NA,NA,NA,NA,NA,NA,avg (n =2)
lab_blank,laboratory blank,NA,NA,2000,lab blank,NA,0.193,NA,NA,NA,NA,NA,NA,NA,NA,avg (n =8)
R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,2000,NA,3.091,2.811,0.0479,0.017040199,63.68,447.68,63.29,58.63,34.61,1.828662236,NA
R15,Squaw Peak WTP treated water,srp,squaw peak-treated,2000,NA,2.751,2.542,0.0277,0.010896932,32.06,442.08,31.04,28.66,15.3,2.02875817,NA
R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,2000,NA,3.039,2.837,0.0493,0.017377511,63.63,441.75,63.16,59.5,35.09,1.799943004,NA
R17,Deer Valley WTP treated water,srp,deer valley-treated,2000,NA,2.745,2.621,0.0421,0.016062572,59.37,445.18,58.42,54.83,32.09,1.82050483,NA
R18,South Canal at Val Vista WTP,srp,s canal @ val vista,2000,NA,2.677,2.74,0.0477,0.017408759,68.65,445.98,67.24,63.68,37.8,1.778835979,NA
R19,Val Vista WTP treated water,srp,val vista-treated,2000,NA,2.577,2.542,0.0405,0.015932337,60.73,445.61,60.27,57.11,33.17,1.817003316,NA
R4,Cap Canal at 7th St.,cap,cap @ 7th st,2000,NA,2.932,4.082,0.0435,0.010656541,56.75,444.33,55.55,51.88,30.5,1.821311475,NA
R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st,2000,field duplicate,3.029,3.371,0.0441,0.013082171,57.15,445.58,56.86,53.1,30.45,1.867323481,NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,2000,NA,2.907,2.808,0.0521,0.018554131,76.32,444.8,75.85,71.58,42.95,1.766006985,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,2000,NA,3.016,2.961,0.0435,0.014690983,57.8,441.01,56.82,53.17,30.85,1.841815235,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,2000,NA,2.959,2.748,0.0518,0.018850073,76.39,443.75,75.73,71.45,42.01,1.802666032,NA
R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,2000,NA,3.067,2.795,0.0513,0.018354204,76.24,446.16,75.74,71.41,42.33,1.789274746,NA
R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,2000,NA,3.287,3.004,0.0536,0.017842876,68.99,444.7,68.09,64.21,37.89,1.797044075,NA
R9A,Saguaro Lake near inlet,salt,saguaro-epi,2000,NA,3.25,3.091,0.0543,0.01756713,79.87,446.61,78.68,74.99,43.89,1.792663477,NA
R9A-Dup,Saguaro Lake near inlet,salt,saguaro-epi,2000,field duplicate,3.095,3.056,0.0535,0.017506545,79.75,445.67,79.44,74.52,44.05,1.803405221,NA
R9B,Saguaro Lake near inlet,salt,saguaro-hypo,2000,NA,3.659,3.433,0.0594,0.017302651,73.61,444.78,73.14,69.37,41.33,1.769658843,NA
R20,Verde River at Tangle,verde,verde abv horseshoe,2000,NA,1.385,1.127,0.032,0.028393966,61.83,452.44,61.49,59.01,36.37,1.690679131,NA
R1,CAP canal above Waddell Canal,cap,cap-siphon,2000,NA,3.1,3.011,0.04,0.013284623,45.53,442.97,44.86,41.93,23.94,1.873851295,NA
R2A,Lake Pleasant integrated sample,cap,pleasant-epi,2000,NA,3.561,3.477,0.04,0.01150417,33.46,439.79,32.89,30.44,17.12,1.92114486,NA
R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,2000,NA,3.277,3.254,0.0409,0.012569146,40.45,445.83,39.87,37.23,21.16,1.884215501,NA
R3,Waddell Canal,cap,waddell canal,2000,NA,2.907,2.886,0.041,0.014206514,52.55,446.48,51.69,48.51,28.38,1.821353066,NA
R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,2000,NA,1.318,1.283,0.0217,0.016913484,41.64,445.99,40.93,39.42,23.7,1.727004219,NA
R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,2000,NA,4.496,4.393,0.0305,0.006942864,33.64,446.98,33.42,31.36,18.13,1.843353558,NA
R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,2000,NA,1.949,1.837,0.0328,0.017855199,47.2,448.89,47.02,44.61,27.17,1.730585204,NA
R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,2000,NA,1.531,1.579,0.0316,0.020012666,57.84,449.94,57.83,54.69,32.84,1.760962241,NA
R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,2000,NA,2.928,2.774,0.0433,0.015609229,69.47,451.19,69.36,65.4,38.19,1.816182247,NA
R11,CAP Canal at Cross-connect,cap,cap @ x con,2000,NA,3.108,3.012,0.04,0.013280212,54.87,447.55,54.1,50.42,28.93,1.87003111,NA
R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,2000,NA,2.781,2.639,0.0467,0.017696097,63.39,448,62.99,58.32,34.4,1.831104651,NA
