"site number","site location","Cluster","site acronym","date","sample type","nutrient comments","total_nitrogen","total_dissolved_nitrogen","total_phosphorus","total_dissolved_phosphorus","nitrate_nitrogen","ammonium_nitrogen","dissolved_organic_nitrogen"
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2004-02-17",NA,NA,0.317,0.364,9.8,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2004-02-17",NA,NA,0.331,0.327,9.4,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2004-02-17",NA,NA,NA,0.415,9.3,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2004-02-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","2004-02-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2004-02-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2004-02-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2004-02-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2004-02-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2004-02-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2004-02-17",NA,NA,0.338,0.342,16.1,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2004-02-17",NA,NA,0.331,0.325,16.8,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2004-02-17",NA,NA,0.36,0.32,17,NA,NA,NA,NA
"Roosvelt","SRP above Roosevelt Lake",NA,"Above Roosevelt","2004-02-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","2004-02-17",NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2004-02-17",NA,NA,NA,0.146,NA,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2004-02-17",NA,NA,NA,2.676,12.2,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out","2004-02-17",NA,NA,NA,2.515,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2004-02-17",NA,NA,NA,0.378,7.6,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","2004-02-17",NA,NA,NA,0.336,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2004-02-18",NA,NA,0.451,0.395,NA,NA,NA,NA,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2","2004-02-18",NA,NA,0.433,0.385,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2004-02-26",NA,NA,0.061,0.068,13.9,NA,NA,NA,NA
"Green In","Greenway WTP Inlet","srp","Green In","2004-03-16",NA,NA,NA,2.825,10.3,NA,NA,NA,NA
"Green Out","Greenway WTP Outlet","srp","Green Out","2004-03-16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2004-03-16",NA,NA,0.491,0.46,NA,NA,NA,NA,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2","2004-03-16",NA,NA,0.498,0.469,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2004-03-16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2004-03-16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","2004-03-16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2004-03-16",NA,NA,NA,0.484,22.4,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","2004-03-16",NA,NA,NA,0.439,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2004-03-16",NA,NA,NA,NA,28.9,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2004-03-16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2004-03-16",NA,NA,NA,0.219,15.9,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2004-03-16",NA,NA,NA,0.464,12.1,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2004-03-16",NA,NA,NA,0.231,31.5,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2004-03-16",NA,NA,NA,0.36,15.4,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2004-03-16",NA,NA,NA,0.39,NA,NA,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2004-03-16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2004-03-16",NA,NA,NA,0.625,24.1,NA,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2004-03-16",NA,NA,NA,0.656,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2004-03-16",NA,NA,NA,0.398,24.7,NA,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2004-03-16",NA,NA,NA,0.378,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2004-03-16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2004-03-16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2004-03-16",NA,NA,NA,0.177,26.2,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2004-03-16",NA,NA,0.3988,0.352,10.7,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2004-03-16",NA,NA,0.3749,0.386,9.5,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2004-03-16",NA,NA,NA,0.45,7.5,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2004-03-16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","2004-03-16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2004-03-16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2004-03-16",NA,NA,0.158,0.173,19.7,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2004-03-16",NA,NA,0.293,0.263,22.9,NA,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2004-03-16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2004-03-16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2004-03-16",NA,NA,0.494,0.462,15.9,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2004-03-16",NA,NA,0.408,0.375,14.3,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2004-03-16",NA,NA,0.333,0.333,16.8,NA,NA,NA,NA
"Roosvelt","SRP above Roosevelt Lake",NA,"Above Roosevelt","2004-03-16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","2004-03-16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2004-03-16",NA,NA,NA,0.374,NA,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2004-03-16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out","2004-03-16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2004-03-16",NA,NA,NA,0.446,8.4,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","2004-03-16",NA,NA,NA,0.415,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2004-03-29",NA,NA,0.1131,0.123,37,NA,NA,NA,NA
"Green In","Greenway WTP Inlet","srp","Green In","2004-04-13",NA,NA,NA,2.178,18,NA,NA,NA,NA
"Green Out","Greenway WTP Outlet","srp","Green Out","2004-04-13",NA,NA,NA,1.983,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2004-04-13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2004-04-13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","2004-04-13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2004-04-13",NA,NA,NA,0.505,50.5,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","2004-04-13",NA,NA,NA,0.505,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2004-04-13",NA,NA,NA,NA,26,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2004-04-13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2004-04-13",NA,NA,NA,0.26,NA,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2004-04-13",NA,NA,NA,0.559,10.4,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2004-04-13",NA,NA,NA,0.157,36.3,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2004-04-13",NA,NA,NA,0.405,22,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2004-04-13",NA,NA,NA,0.334,NA,NA,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2004-04-13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2004-04-13",NA,NA,NA,0.675,43.3,NA,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2004-04-13",NA,NA,NA,0.647,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2004-04-13",NA,NA,NA,0.42,18.2,NA,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2004-04-13",NA,NA,NA,0.41,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2004-04-13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2004-04-13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2004-04-13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2004-04-13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2004-04-13",NA,NA,0.299,0.279,NA,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2004-04-13",NA,NA,0.411,0.374,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2004-04-13",NA,NA,NA,NA,8.3,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2004-04-13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","2004-04-13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2004-04-13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2004-04-13",NA,NA,0.2598,0.22,35,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2004-04-13",NA,NA,0.197,0.261,23.1,NA,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2004-04-13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2004-04-13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2004-04-13",NA,NA,0.3453,0.356,10.8,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2004-04-13",NA,NA,0.3399,0.302,11.6,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2004-04-13",NA,NA,0.4164,0.388,7.6,NA,NA,NA,NA
"Roosvelt","SRP above Roosevelt Lake",NA,"Above Roosevelt","2004-04-13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","2004-04-13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2004-04-13",NA,NA,NA,0.418,NA,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2004-04-13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out","2004-04-13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2004-04-13",NA,NA,NA,0.479,8,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","2004-04-13",NA,NA,NA,0.41,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2004-04-20",NA,NA,0.467,0.491,NA,NA,NA,NA,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2","2004-04-20",NA,NA,0.491,0.456,NA,NA,NA,NA,NA
"Green In","Greenway WTP Inlet","srp","Green In","2004-05-18",NA,NA,NA,0.736,21.7,NA,NA,NA,NA
"Green Out","Greenway WTP Outlet","srp","Green Out","2004-05-18",NA,NA,NA,0.52,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2004-05-18",NA,NA,NA,0.615,7.2,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2004-05-18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","2004-05-18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2004-05-18",NA,NA,NA,0.432,19.6,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","2004-05-18",NA,NA,NA,0.403,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2004-05-18",NA,NA,NA,NA,8,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2004-05-18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2004-05-18",NA,NA,NA,0.241,5.3,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2004-05-18",NA,NA,NA,0.386,0,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2004-05-18",NA,NA,NA,0.227,5.7,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2004-05-18",NA,NA,NA,0.316,0,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2004-05-18",NA,NA,NA,0.396,12.7,NA,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2004-05-18",NA,NA,NA,0.36,NA,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2004-05-18",NA,NA,NA,0.531,33,NA,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2004-05-18",NA,NA,NA,0.55,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2004-05-18",NA,NA,NA,0.296,4.8,NA,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2004-05-18",NA,NA,NA,0.308,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2004-05-18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2004-05-18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2004-05-18",NA,NA,NA,0.141,NA,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2004-05-18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2004-05-18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2004-05-18",NA,NA,NA,0.39,0,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2004-05-18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","2004-05-18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2004-05-18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2004-05-18",NA,NA,0.192,0.189,NA,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2004-05-18",NA,NA,0.224,0.217,19.9,NA,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2004-05-18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2004-05-18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2004-05-18",NA,NA,0.324,0.334,46.1,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2004-05-18",NA,NA,0.359,0.317,12.7,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2004-05-18",NA,NA,0.321,0.274,14.3,NA,NA,NA,NA
"Roosvelt","SRP above Roosevelt Lake",NA,"Above Roosevelt","2004-05-18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","2004-05-18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2004-05-18",NA,NA,NA,0.291,NA,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2004-05-18",NA,NA,NA,2.442,0,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out","2004-05-18",NA,NA,NA,2.381,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2004-05-18",NA,NA,NA,0.404,8.4,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","2004-05-18",NA,NA,NA,0.325,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2004-05-25",NA,NA,NA,0.425,NA,NA,NA,NA,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2","2004-05-25",NA,NA,NA,0.429,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2004-05-27",NA,NA,NA,0.185,13.9,NA,NA,NA,NA
"Green In","Greenway WTP Inlet","srp","Green In","2004-06-21",NA,NA,NA,0.329,18,NA,NA,NA,NA
"Green Out","Greenway WTP Outlet","srp","Green Out","2004-06-21",NA,NA,NA,0.406,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2004-06-21",NA,NA,NA,0.492,17.8,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2004-06-21",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mesa","AZ Canal at Mesa Dr.","srp","az canal @ Mesa","2004-06-21",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet","2004-06-21",NA,NA,NA,0.429,17,NA,NA,NA,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet","2004-06-21",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2004-06-21",NA,NA,NA,NA,10.2,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","2004-06-21",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","2004-06-21",NA,NA,NA,0.406,26.4,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","2004-06-21",NA,NA,NA,0.33,4.5,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2004-06-21",NA,NA,NA,0.314,19.2,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2004-06-21",NA,NA,NA,0.317,16.9,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","2004-06-21",NA,NA,NA,0.356,NA,NA,NA,NA,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","2004-06-21",NA,NA,NA,0.241,NA,NA,NA,NA,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","2004-06-21",NA,NA,NA,0.359,12.3,NA,NA,NA,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","2004-06-21",NA,NA,NA,0.314,NA,NA,NA,NA,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","2004-06-21",NA,NA,NA,0.39,13.6,NA,NA,NA,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","2004-06-21",NA,NA,NA,0.327,NA,NA,NA,NA,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","2004-06-21",NA,NA,NA,0.146,25.5,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2004-06-21",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2004-06-21",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline","2004-06-21",NA,NA,NA,0.144,10.1,NA,NA,NA,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","2004-06-21",NA,NA,NA,0.228,NA,NA,NA,NA,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","2004-06-21",NA,NA,NA,0.245,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal","2004-06-21",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","2004-06-21",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R4-Dup","Cap Canal at 7th St.","cap","cap @ 7th st dup","2004-06-21",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","2004-06-21",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","2004-06-21",NA,NA,NA,0.31,11.9,NA,NA,NA,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","2004-06-21",NA,NA,NA,0.261,12.3,NA,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","2004-06-21",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","2004-06-21",NA,NA,NA,NA,NA,NA,NA,NA,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","2004-06-21",NA,NA,NA,0.548,12.8,NA,NA,NA,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup","2004-06-21",NA,NA,NA,0.552,14.5,NA,NA,NA,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","2004-06-21",NA,NA,NA,0.778,25.5,NA,NA,NA,NA
"Roosvelt","SRP above Roosevelt Lake",NA,"Above Roosevelt","2004-06-21",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scotts","AZ Canal at Scottsdale Rd.","srp","az canal @ scotts.","2004-06-21",NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2004-06-21",NA,NA,NA,0.361,NA,NA,NA,NA,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In","2004-06-21",NA,NA,NA,1.436,20.7,NA,NA,NA,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out","2004-06-21",NA,NA,NA,1.231,NA,NA,NA,NA,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet","2004-06-21",NA,NA,NA,0.442,4.4,NA,NA,NA,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet","2004-06-21",NA,NA,NA,0.331,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2004-06-22",NA,NA,NA,0.463,NA,NA,NA,NA,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2","2004-06-22",NA,NA,NA,0.442,NA,NA,NA,NA,NA
"Green In","Greenway WTP Inlet","srp","Green In","2004-07-20",NA,NA,NA,0.334,18,NA,NA,NA,NA
"Green Out","Greenway WTP Outlet","srp","Green Out","2004-07-20",NA,NA,NA,0.3,NA,NA,NA,NA,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1","2004-07-20",NA,NA,NA,0.433,NA,NA,NA,NA,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2","2004-07-20",NA,NA,NA,NA,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2004-07-20",NA,NA,NA,0.375,17.8,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2004-07-20",NA,NA,NA,NA,NA,NA,NA,NA,NA
