"Site Number","Site location","Cluster","Site Acronym","Arsenic (ug/L)","Perchlorate (ug/L)","date"
"Havasu 1","Lake havasu",NA,"Havasu 1",0,NA,"2007-02-05"
"Havasu 2","Lake havasu",NA,"Havasu 2",NA,NA,"2007-02-05"
"HTC","Tempe Canal","tempe","head of tempe canal",8.2,NA,"2007-02-05"
"Hwy 87","Granite Reef Recreational Area","srp","az canal @ hwy 87",7.2,NA,"2007-02-05"
"NP In","tempe canal","tempe","North plant inlet",NA,NA,"2007-02-05"
"NP Out","Tempe Canal","tempe","north plant outlet",NA,NA,"2007-02-05"
"Pima","Arizona Canal","srp","az canal @ pima",4.7,NA,"2007-02-05"
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",4.3,NA,"2007-02-05"
"R11","Central Arizona Project Aqueduct","cap","cap @ x con",2.6,NA,"2007-02-05"
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",6.5,NA,"2007-02-05"
"R13","Steele Indian School Park","srp","az canal blw cap",7.6,NA,"2007-02-05"
"R14","24th Street Water Treatment Plant","srp","az canal @ squaw peak",NA,NA,"2007-02-05"
"R15","24th Street Water Treatment Plant","srp","squaw peak-treated",NA,NA,"2007-02-05"
"R16","Deer Valley Water treatment plant","srp","az canal @ deer valley",NA,NA,"2007-02-05"
"R17","Deer Valley water treatment plant","srp","deer valley-treated",NA,NA,"2007-02-05"
"R18","Val Vista Water Treatment Plant","srp","s canal @ val vista",9.1,NA,"2007-02-05"
"R19","Val Vista Water Treatment Plant","srp","val vista-treated",4,NA,"2007-02-05"
"R20","Tangle Creek","verde","verde abv horseshoe",17.5,NA,"2007-02-05"
"R21","Steele Indian School Park","srp","az canal @ central ave.",7.1,NA,"2007-02-05"
"R22","Arizona Falls","srp","az canal @ 56th st.",3.1,NA,"2007-02-05"
"R25","verde river at beeline highway","verde","verde @ beeline",11.9,NA,"2007-02-05"
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",3.3,NA,"2007-02-05"
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",3.3,NA,"2007-02-05"
"R3","Waddell Canal","cap","waddell canal",2.4,NA,"2007-02-05"
"R6A","Bartlett Reservoir ","verde","bartlett-epi",13,NA,"2007-02-05"
"R6B","Bartlett Reservoir ","verde","bartlett-hypo",13.2,NA,"2007-02-05"
"R9A","Saguaro Lake","salt","saguaro-epi",5,NA,"2007-02-05"
"R9A-Dup","Saguaro Lake",NA,"saguaro-epi dup",5,NA,"2007-02-05"
"R9B","Saguaro Lake","salt","saguaro-hypo",4.7,NA,"2007-02-05"
"SOCA","park of the canals","srp","South canal below CAP",12.1,NA,"2007-02-05"
"SPT In","South Tempe Water Plant","tempe","STP In",8,NA,"2007-02-05"
"SPT Out","South Tempe Water Plant","tempe","STP Out",6.3,NA,"2007-02-05"
"UH In","Union Hills Inlet","cap","Union Hills Inlet",0,NA,"2007-02-05"
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0,NA,"2007-02-05"
"Green In","Greenway Water Treatment Plant","srp","Green In",3.2,NA,"2007-03-12"
"Green Out","Greenway Water Treatment Plant","srp","Green Out",0,NA,"2007-03-12"
"Havasu 1","Lake havasu",NA,"Havasu 1",0,NA,"2007-03-12"
